PROVIDUS BANK
0215,CORPORATE BRANCH
,,,,

Customer Name,SANITIZED COMPANY LIMITED
Account Number,0215/********/001/0013/000
NUBAN Number,******2534
Account Type,CURR.A/C -LOCAL CORPORATE - NAIRA
Account Nickname,SANITIZED COMPANY LIMITED CURRENT NGN
Statement of Account For  The Period From Date 01/04/2026 To Date 03/06/2026

,Transaction Description,All,Transaction Type,All
,Number of Debit Transaction(s),388,Number of Credit Transaction(s),11
,Total Debit Amount,"48,574,497.94",Total Credit Amount,"47,425,207.50"
,"Period Opening Balance ","1,288,486.27","Period Closing Balance ","139,195.83"


Transaction Date,Actual Transaction Date,Transaction Details,Value Date,Debit Amount,Credit Amount,Current Balance,DR/CR,DOC-NUM
17/04/2026,17/04/2026,SANITIZED DEBIT TRANSACTION 046,17/04/2026,3.75,,"13,449,850.80",,DOC-0046
17/04/2026,17/04/2026,SANITIZED DEBIT TRANSACTION 047,17/04/2026,"546,868.00",,"12,902,982.80",,DOC-0047
17/04/2026,17/04/2026,SANITIZED DEBIT TRANSACTION 048,17/04/2026,"75,526.39",,"12,827,456.41",,DOC-0048
18/04/2026,18/04/2026,SANITIZED DEBIT TRANSACTION 049,18/04/2026,"40,556.49",,"12,786,899.92",,DOC-0049
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 050,18/04/2026,"84,188.29",,"12,702,711.63",,DOC-0050
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 051,19/04/2026,"300,000.00",,"12,402,711.63",,DOC-0051
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 052,19/04/2026,50.00,,"12,402,661.63",,DOC-0052
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 053,19/04/2026,50.00,,"12,402,611.63",,DOC-0053
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 054,19/04/2026,3.75,,"12,402,607.88",,DOC-0054
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 055,19/04/2026,"200,000.00",,"12,202,607.88",,DOC-0055
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 056,19/04/2026,50.00,,"12,202,557.88",,DOC-0056
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 057,19/04/2026,50.00,,"12,202,507.88",,DOC-0057
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 058,19/04/2026,3.75,,"12,202,504.13",,DOC-0058
19/04/2026,19/04/2026,SANITIZED CREDIT TRANSACTION 059,19/04/2026,,"200,000.00","12,402,504.13",,DOC-0059
19/04/2026,19/04/2026,SANITIZED CREDIT TRANSACTION 060,19/04/2026,,50.00,"12,402,554.13",,DOC-0060
19/04/2026,19/04/2026,SANITIZED CREDIT TRANSACTION 061,19/04/2026,,50.00,"12,402,604.13",,DOC-0061
19/04/2026,19/04/2026,SANITIZED CREDIT TRANSACTION 062,19/04/2026,,3.75,"12,402,607.88",,DOC-0062
19/04/2026,19/04/2026,SANITIZED DEBIT TRANSACTION 063,19/04/2026,"200,000.00",,"12,202,607.88",,DOC-0063
